[2][9] = 0; 4, 2
[2][10] = 0; 4, 4
[2][11] = 0; 4, 0
[2][12] = 0; 4, 1
[2][13] = 0; 4, 2
[2][14] = 0; 4, 1
[2][15] = 0; 4, 4
[2][16] = 0; 4, 0
[2][17] = 0; 4, 2
[2][18] = 0; 4, 1
[2][19] = 0; 4, 1
[2][20] = 0; 4, 2
[2][21] = 0; 4, 4
[2][22] = 0; 4, 2
[2][23] = 0; 4, 1
[2][24] = 0; 4, 2
[2][25] = 0; 4, 2
[2][26] = 0; 4, 1
[2][27] = 0; 4, 1
[2][28] = 0; 4, 3
[2][29] = 0; 4, 0
[2][30] = 0; 4, 3
[2][31] = 0; 4, 2
[2][32] = 0; 4, 1
[2][33] = 0; 4, 1
[2][34] = 0; 4, 3
[2][35] = 0; 4, 2
[2][36] = 0; 4, 4
[2][37] = 0; 4, 2
[2][38] = 0; 4, 4
[2][39] = 0; 4, 4
[2][40] = 0; 4, 3
[2][41] = 0; 4, 1
[2][42] = 0; 4, 2
[2][43] = 0; 4, 3
[2][44] = 0; 4, 3
[2][45] = 0; 4, 4
[2][46] = 0; 4, 1
[2][47] = 0; 4, 1
[2][48] = 0; 4, 3
[2][49] = 0; 4, 3
[2][50] = 0; 4, 2
[2][51] = 0; 4, 4
[2][52] = 0; 4, 2
[2][53] = 0; 4, 2
[2][54] = 0; 4, 2
[2][55] = 0; 4, 4
[2][56] = 0; 4, 3
[2][57] = 0; 4, 1
[2][58] = 0; 4, 4
[2][59] = 0; 4, 3
[2][60] = 0; 4, 1
[2][61] = 0; 4, 0
[2][62] = 0; 4, 0
[2][63] = 0; 4, 2
[2][64] = 0; 4, 3
[2][65] = 0; 4, 1
[2][66] = 0; 4, 0
[2][67] = 0; 4, 2
[2][68] = 0; 4, 4
[2][69] = 0; 4, 3
[2][70] = 0; 4, 1
[2][71] = 0; 4, 0
[2][72] = 0; 4, 0
[2][73] = 0; 4, 4
[2][74] = 0; 4, 0
[2][75] = 0; 4, 0
[2][76] = 0; 4, 1
[2][77] = 0; 4, 1
[2][78] = 0; 4, 3
[2][79] = 0; 4, 3
[2][80] = 0; 4, 4
[2][81] = 0; 4, 3
[2][82] = 0; 4, 4
[2][83] = 0; 4, 4
[2][84] = 0; 4, 1
[2][85] = 0; 4, 0
[2][86] = 0; 4, 1
[2][87] = 0; 4, 1
[2][88] = 0; 4, 1
[2][89] = 0; 4, 3
[2][90] = 0; 4, 4
[2][91] = 0; 4, 4
[2][92] = 0; 4, 3
[2][93] = 0; 4, 2
[2][94] = 0; 4, 3
[2][95] = 0; 4, 3
[2][96] = 0; 4, 2
[2][97] = 0; 4, 4
[2][98] = 0; 4, 3
[2][99] = 0; 4, 0
[2][100] = 0; 4, 4
[2][101] = 0; 4, 3
[2][102] = 0; 4, 4
[2][103] = 0; 4, 0
[2][104] = 0; 4, 2
[3][4] = 0; 2, 2
[3][5] = 0; 2, 4
[3][6] = 0; 2, 3
[3][7] = 0; 2, 4
[3][8] = 0; 2, 3
[3][9] = 0; 2, 2
[3][10] = 0; 2, 4
[3][11] = 0; 2, 0
[3][12] = 0; 2, 1
[3][13] = 0; 2, 2
[3][14] = 0; 2, 1
[3][15] = 0; 2, 4
[3][16] = 0; 2, 0
[3][17] = 0; 2, 2
[3][18] = 0; 2, 1
[3][19] = 0; 2, 1
[3][20] = 0; 2, 2
[3][21] = 0; 2, 4
[3][22] = 0; 2, 2
[3][23] = 0; 2, 1
[3][24] = 0; 2, 2
[3][25] = 0; 2, 2
[3][26] = 0; 2, 1
[3][27] = 0; 2, 1
[3][28] = 0; 2, 3
[3][29] = 0; 2, 0
[3][30] = 0; 2, 3
[3][31] = 0; 2, 2
[3][32] = 0; 2, 1
[3][33] = 0; 2, 1
